-36.684547711934,1345.54331961879
-35.4431293487095,1255.24451312159
-35.4243008396788,1254.73795147615
-35.7187001286601,1274.51382960009
-36.2447498675049,1313.97376898974
-35.802668570272,1280.81547765773
-35.6098290752138,1267.87488993931
-37.5165465649013,1407.77833132442
-35.6923605433431,1274.12399887599
-36.6603201808741,1343.89820255763
-35.7045410771774,1275.26912959256
-35.5195771450066,1260.8034720551
-35.4593267316511,1257.6383728167
-35.1801632114728,1236.79245475012
-35.6755783216892,1273.61412911784
-35.6996119956479,1275.48077309918
-36.6116865934925,1340.0668474998
-35.9101260111378,1290.02327720262
-36.0337405433954,1298.89232815511
-36.8519987451614,1357.4066054533
